a,b,freq_a,freq_b,p_logistic,p_boosting
taiin,ytaiin,44,34,0.9887,0.8859
dchedy,dshedy,26,30,0.9885,0.8908
sain,sar,59,66,0.9874,0.8553
oaiin,qoaiin,23,22,0.9864,0.8355
dchol,kchor,21,20,0.9851,0.8177
sal,sar,40,66,0.9824,0.8629
chodaiin,odaiin,45,57,0.98,0.7219
sain,sor,59,47,0.9788,0.5409
ykaiin,ytaiin,41,34,0.9771,0.8486
sol,sor,59,47,0.9769,0.5815
dshedy,tchedy,30,30,0.975,0.9297
oraiin,ytaiin,28,34,0.9727,0.5106
dchol,dchor,21,24,0.97,0.5985
ykeedy,yteedy,27,25,0.9686,0.833
sain,sair,59,24,0.9668,0.7119
dchol,otchol,21,29,0.966,0.8837
okeey,qokeey,154,298,0.9646,0.8919
odaiin,shodaiin,57,22,0.9622,0.9318
kchor,otchol,20,29,0.9573,0.36
dchor,otchol,24,29,0.9562,0.6782
shodaiin,ytaiin,22,34,0.9562,0.6239
saiin,sain,117,59,0.9557,0.8712
qotor,tor,25,22,0.9552,0.527
dchor,dor,24,62,0.9474,0.8319
okaiin,otaiin,200,137,0.9455,0.7912
dchor,qotor,24,25,0.9433,0.5511
okeedy,olkeedy,99,41,0.943,0.6483
okeedy,oteedy,99,86,0.942,0.832
odaiin,ytaiin,57,34,0.94,0.7492
oaiin,ykaiin,23,41,0.934,0.8071
cthol,cthor,52,41,0.9321,0.7618
ykar,ytar,32,21,0.9311,0.7167
oaiin,tor,23,22,0.9278,0.5003
tol,tor,38,22,0.9276,0.4775
chodaiin,shodaiin,45,22,0.9274,0.8884
sor,tar,47,40,0.9236,0.6356
qotor,sor,25,47,0.9235,0.5539
saiin,ykaiin,117,41,0.9176,0.4826
sain,tar,59,40,0.9146,0.0832
tar,ytar,40,21,0.9136,0.876
sain,tor,59,22,0.9134,0.2302
dain,dair,202,83,0.9114,0.8893
oteedy,qoteedy,86,73,0.9107,0.5456
sar,sor,66,47,0.9043,0.4186
dain,dar,202,277,0.9028,0.6102
qokchy,qotchy,62,59,0.8979,0.6969
oaiin,sain,23,59,0.8972,0.6811
shodaiin,shody,22,52,0.8968,0.4646
odaiin,oraiin,57,28,0.8946,0.5617
sain,sal,59,40,0.8933,0.4047
okaiin,qokaiin,200,262,0.8919,0.4162
otor,qotor,32,25,0.8878,0.8711
dam,otam,74,42,0.8869,0.8869
okam,qokam,26,25,0.8849,0.0339
cthol,cthy,52,101,0.882,0.6507
dchor,kchor,24,20,0.8819,0.7494
dor,qotor,62,25,0.8799,0.3893
sair,sor,24,47,0.8788,0.7998
odaiin,okaiin,57,200,0.8763,0.6663
dain,saiin,202,117,0.8742,0.7391
qokedy,qokeedy,266,295,0.8686,0.9175
oraiin,shodaiin,28,22,0.865,0.8835
dchor,sor,24,47,0.8622,0.5805
kchor,qotor,20,25,0.8606,0.3428
dair,sain,83,59,0.8562,0.4523
chodaiin,ytaiin,45,34,0.8504,0.3458
qokchedy,qopchedy,38,31,0.8484,0.703
qokeedy,qoteedy,295,73,0.8475,0.9021
qoteedy,yteedy,73,25,0.8469,0.7909
oaiin,sair,23,24,0.8412,0.3599
dchedy,tchedy,26,30,0.8395,0.7334
okeey,oteey,154,97,0.8392,0.6251
sair,tar,24,40,0.8366,0.5827
otol,qotol,62,43,0.8335,0.5601
lol,sal,35,40,0.8317,0.4186
dal,dy,203,236,0.8304,0.2417
sain,sol,59,59,0.8272,0.188
oaiin,oraiin,23,28,0.8252,0.6563
dor,kchor,62,20,0.8247,0.6216
tar,tor,40,22,0.8237,0.1656
taiin,ykaiin,44,41,0.823,0.431
lor,tar,38,40,0.8197,0.622
sal,taiin,40,44,0.8177,0.6078
otchol,qotol,29,43,0.8127,0.5666
sair,tor,24,22,0.8095,0.4215
dchor,tol,24,38,0.809,0.0916
okain,otain,132,92,0.8061,0.0736
okeedy,qokeedy,99,295,0.805,0.5541
lor,sar,38,66,0.8047,0.5975
sor,tor,47,22,0.8039,0.7339
dor,sol,62,59,0.8038,0.433
oaiin,ytaiin,23,34,0.8009,0.7088
choky,oky,35,87,0.7999,0.5273
otedy,qotedy,133,85,0.794,0.0927
otchol,qotor,29,25,0.7878,0.1838
dain,dor,202,62,0.7865,0.1462
otchol,tol,29,38,0.781,0.2344
lchedy,lchey,111,49,0.7795,0.809
qokedy,qoteedy,266,73,0.7789,0.9517
am,oly,62,55,0.7788,0.4762
chodaiin,oraiin,45,28,0.777,0.5434
cthy,dam,101,74,0.7734,0.0962
oaiin,saiin,23,117,0.7731,0.6475
odaiin,otaiin,57,137,0.7705,0.1644
saiin,sar,117,66,0.7705,0.2795
odaiin,ykaiin,57,41,0.7677,0.6717
kchy,ky,33,30,0.7676,0.5948
otchy,qotchy,41,59,0.7652,0.7328
okedy,qokedy,104,266,0.765,0.5881
shodaiin,taiin,22,44,0.7611,0.2524
oraiin,taiin,28,44,0.7601,0.7962
okeedy,qoteedy,99,73,0.7576,0.7757
qoaiin,ykaiin,22,41,0.7567,0.7164
dol,dor,103,62,0.7546,0.196
okchedy,olchedy,21,34,0.7546,0.1463
otaiin,qotaiin,137,75,0.7512,0.0457
sheody,shody,44,52,0.7509,0.8296
sal,tar,40,40,0.7507,0.4202
am,okam,62,26,0.7475,0.1869
dain,sal,202,40,0.7456,0.1825
olkeey,ykeey,38,50,0.7452,0.3441
dchedy,yteedy,26,25,0.7437,0.8384
dchor,tor,24,22,0.7406,0.2462
sal,sol,40,59,0.7368,0.1798
ldy,qokam,21,25,0.7356,0.1525
dair,sar,83,66,0.7329,0.612
oiin,olaiin,29,41,0.7311,0.2113
dair,saiin,83,117,0.7291,0.1322
sar,tar,66,40,0.7217,0.6714
lchedy,olchedy,111,34,0.7211,0.0491
qotaiin,ytaiin,75,34,0.7202,0.5731
shol,shor,172,91,0.7198,0.7784
dshedy,pchedy,30,34,0.7154,0.4461
oty,qoty,96,85,0.7153,0.1343
dor,sain,62,59,0.7147,0.1242
otchol,otol,29,62,0.7112,0.4198
saiin,sor,117,47,0.7112,0.0716
sain,taiin,59,44,0.7109,0.4167
sal,sor,40,47,0.7103,0.2801
sho,shor,118,91,0.7089,0.0943
daiin,dain,790,202,0.7059,0.8625
tar,ykar,40,32,0.7057,0.2023
oaiin,taiin,23,44,0.7055,0.6877
kedy,keedy,47,61,0.705,0.7022
okedy,otedy,104,133,0.7042,0.0566
dchedy,pchedy,26,34,0.7026,0.5413
qor,qotor,20,25,0.7012,0.3155
oaiin,shodaiin,23,22,0.699,0.3129
okain,qokain,132,272,0.697,0.2793
saiin,ytaiin,117,34,0.6962,0.6598
qor,sor,20,47,0.6954,0.7874
dal,dam,203,74,0.6933,0.3045
lol,lor,35,38,0.6924,0.4559
okchy,oraiin,22,28,0.6921,0.0877
lchedy,lkedy,111,26,0.6916,0.1172
qotol,qotor,43,25,0.6913,0.2991
lor,sal,38,40,0.69,0.7821
dor,sar,62,66,0.6885,0.4663
okol,otol,61,62,0.6876,0.2958
oaiin,olaiin,23,41,0.6865,0.6281
chol,chor,370,208,0.6812,0.4131
qokal,qotal,175,56,0.6777,0.5933
odaiin,taiin,57,44,0.6771,0.5782
qotol,tol,43,38,0.677,0.5397
okor,qokor,27,29,0.6763,0.461
ody,oly,40,55,0.672,0.0817
pchedy,tchedy,34,30,0.6714,0.6132
lkain,rain,34,20,0.6712,0.6008
dor,sor,62,47,0.6707,0.5672
