adjacent_pairs,block_matched,page,text_tokens,visual_tokens
58,72,f100r,91,111
53,65,f100v,79,91
72,90,f102r1,103,109
77,95,f102r2,137,134
71,91,f102v1,118,127
73,96,f102v2,168,184
375,450,f103r,532,525
327,393,f103v,454,449
310,375,f104r,448,438
344,410,f104v,477,458
259,314,f105r,371,370
281,336,f105v,399,390
317,377,f106r,432,421
307,372,f106v,444,449
358,424,f107r,487,488
339,405,f107v,462,455
376,445,f108r,494,491
421,499,f108v,576,570
68,81,f10r,92,92
38,47,f10v,57,53
446,532,f111r,624,615
418,484,f111v,568,561
265,322,f112r,401,396
314,376,f112v,420,415
384,459,f113r,529,518
343,414,f113v,502,482
328,387,f114r,452,447
267,321,f114v,376,362
333,393,f115r,461,444
298,356,f115v,410,399
378,454,f116r,553,538
42,51,f11r,59,57
29,35,f11v,49,48
61,73,f13r,77,78
48,58,f13v,69,67
44,60,f14r,76,77
44,57,f14v,75,68
72,89,f15r,94,92
50,64,f15v,72,71
50,67,f16r,82,77
53,69,f16v,76,73
44,59,f17r,78,75
98,121,f17v,135,134
49,64,f18r,81,83
53,64,f18v,69,71
54,67,f19r,78,76
57,72,f19v,75,77
124,156,f1r,208,210
62,75,f1v,92,90
62,75,f20r,89,85
62,77,f20v,86,89
64,81,f21r,104,95
46,55,f21v,58,56
74,91,f22r,111,106
49,67,f22v,75,75
79,95,f23r,110,106
57,69,f23v,95,89
65,85,f24r,108,107
45,65,f24v,85,80
33,41,f25r,44,48
38,48,f25v,60,57
47,60,f26r,90,86
62,76,f26v,93,90
58,75,f27r,93,91
29,39,f27v,61,58
52,63,f28r,68,67
49,59,f28v,66,68
48,60,f29r,65,65
63,79,f29v,94,95
79,93,f2r,101,99
46,57,f2v,61,61
66,83,f30r,99,95
45,57,f30v,63,63
57,76,f31r,101,101
62,79,f31v,110,108
49,68,f32r,76,77
61,75,f32v,89,85
52,63,f33r,74,72
86,101,f33v,114,109
99,119,f34r,143,144
89,104,f34v,117,115
60,77,f35r,94,92
49,74,f35v,91,87
46,58,f36r,63,62
22,28,f36v,34,71
48,62,f37r,78,77
48,72,f37v,89,88
26,33,f38r,44,41
46,58,f38v,68,65
105,129,f39r,152,154
107,127,f39v,146,142
76,99,f3r,114,115
59,74,f3v,85,83
61,76,f40r,103,97
71,92,f40v,101,106
55,73,f41r,97,98
55,63,f41v,65,68
90,114,f42r,133,141
75,93,f42v,114,113
100,120,f43r,153,152
107,129,f43v,151,154
42,57,f44r,74,75
65,84,f44v,100,96
65,77,f45r,89,86
63,75,f45v,85,87
111,132,f46r,163,157
60,70,f46v,82,111
56,69,f47r,76,79
67,82,f47v,85,85
58,69,f48r,78,89
95,111,f48v,128,126
70,92,f49r,114,114
97,125,f49v,143,162
42,58,f4r,64,64
59,74,f4v,84,83
61,76,f50r,93,89
77,91,f50v,100,98
48,65,f51r,89,87
50,65,f51v,82,79
43,54,f52r,69,68
43,59,f52v,78,75
39,49,f53r,61,56
42,59,f53v,73,75
77,94,f54r,110,111
61,80,f54v,93,90
75,94,f55r,124,124
60,77,f55v,105,105
48,69,f56r,103,99
59,76,f56v,91,87
52,66,f57r,87,87
269,325,f58r,378,367
245,302,f58v,372,365
39,47,f5r,54,56
32,41,f5v,48,45
26,32,f65v,45,45
200,239,f66r,294,347
65,84,f66v,114,113
20,27,f67r1,41,155
23,27,f67r2,36,176
21,24,f68r1,28,65
28,35,f68r2,37,81
34,40,f68v2,44,100
30,36,f68v3,44,159
26,31,f69r,36,164
54,72,f6r,86,85
65,92,f6v,116,115
282,349,f75r,408,422
198,229,f75v,254,358
415,483,f76r,561,556
311,367,f76v,400,400
234,285,f77r,321,325
244,292,f77v,321,335
206,253,f78r,290,294
220,262,f78v,295,292
277,344,f79r,383,389
268,323,f79v,356,355
45,56,f7r,66,62
49,60,f7v,78,73
329,386,f80r,436,441
297,351,f80v,376,378
146,182,f81r,210,207
189,226,f81v,253,258
195,232,f82r,273,290
232,274,f82v,306,313
158,188,f83r,219,341
203,239,f83v,257,262
201,234,f84r,287,362
228,279,f84v,321,337
226,271,f85r1,336,333
40,49,f86v3,59,279
28,33,f86v4,45,189
288,341,f86v5,385,381
332,401,f86v6,490,479
51,68,f87r,102,98
45,67,f87v,92,89
100,120,f88r,134,150
94,115,f88v,131,146
87,108,f89r1,126,142
130,159,f89r2,212,245
88,109,f89v1,145,159
77,97,f89v2,165,175
88,111,f8r,146,146
91,111,f8v,118,119
38,47,f90r1,65,70
28,35,f90r2,47,49
50,67,f90v1,96,96
45,54,f90v2,68,69
92,128,f93r,152,152
65,75,f93v,89,88
47,61,f94r,76,82
74,90,f94v,97,101
80,93,f95r1,102,103
59,69,f95r2,79,79
84,104,f95v1,118,117
37,45,f95v2,60,64
65,79,f96r,84,86
21,31,f96v,56,61
112,136,f99r,158,197
99,123,f99v,148,175
62,74,f9r,82,84
66,80,f9v,86,84
