a,b,freq_a,freq_b,context_cosine,same_remainder_after_2,same_prefix_2,glyph_len_diff,common_suffix_units,same_hidden_plaintext
shedy,qokchey,785,84,0.9736391857495522,0,0,2,1,0
shedy,ol,785,664,0.9934050928804677,0,0,2,0,0
shedy,sheol,785,170,0.9700952631737366,0,1,0,0,0
shedy,okchdy,785,43,0.9432276178503148,0,0,1,2,0
shedy,reedy,785,35,0.9362870121396484,0,0,1,3,0
shedy,chckhy,785,138,0.9853411399134581,0,0,1,1,0
shedy,chedy,785,696,0.9940214161695848,1,0,0,3,0
shedy,ar,785,311,0.9910017235798334,0,0,2,0,0
shedy,okar,785,125,0.9718318060242177,0,0,0,0,0
shedy,qokedy,785,293,0.9949147605613723,0,0,2,3,1
shedy,okaiin,785,210,0.9783462482982583,0,0,2,0,0
shedy,raiin,785,156,0.9884411220299137,0,0,1,0,1
shedy,qokchdy,785,83,0.9607745785370325,0,0,2,2,0
shedy,opar,785,26,0.940152953463254,0,0,0,0,0
shedy,qokeey,785,480,0.9861893789887038,0,0,2,1,0
shedy,okain,785,205,0.9786698450931179,0,0,1,0,0
shedy,chey,785,291,0.9836723527035164,0,0,1,1,0
shedy,keed,785,21,0.893876923761346,0,0,0,0,0
shedy,sheody,785,61,0.956209767402608,0,1,1,2,0
shedy,sain,785,142,0.9794967472416916,0,0,0,0,0
shedy,cheeey,785,21,0.9204492452555821,0,0,1,1,0
shedy,otaiin,785,212,0.9750889942107598,0,0,2,0,0
shedy,sheedy,785,210,0.9811972857061337,0,1,1,3,0
shedy,okal,785,91,0.9672861244558767,0,0,0,0,0
shedy,qokeedy,785,443,0.9810657748136271,0,0,3,3,0
shedy,saiin,785,91,0.9594949257817506,0,0,1,0,0
shedy,qokar,785,328,0.979995897987303,0,0,1,0,0
shedy,dar,785,587,0.9912631636731536,0,0,1,0,0
shedy,dain,785,176,0.9716494933157483,0,0,0,0,0
shedy,qotar,785,60,0.9430817425985341,0,0,1,0,0
shedy,pedy,785,20,0.7732722964922545,1,0,0,3,0
shedy,teey,785,21,0.8896751085672449,0,0,0,1,0
shedy,opchy,785,32,0.9548645819624936,0,0,0,1,0
shedy,otedy,785,302,0.9941279148049704,0,0,1,3,1
shedy,otain,785,197,0.966106187782346,0,0,1,0,0
shedy,koiin,785,25,0.8365424350204573,0,0,1,0,0
shedy,chor,785,68,0.9574651529865429,0,0,1,0,0
