v101_locus,zl_locus,zl_descriptor,zl_hand,zl_language,distance
f1r.1,f1r.1,@P0,1,A,0.115
f1r.2,f1r.2,+P0,1,A,0.075
f1r.3,f1r.3,+P0,1,A,0.037
f1r.4,f1r.4,+P0,1,A,0.075
f1r.5,f1r.5,+P0,1,A,0.256
f1r.6,f1r.7,*P0,1,A,0.106
f1r.7,f1r.8,+P0,1,A,0.0
f1r.8,f1r.9,+P0,1,A,0.389
f1r.9,f1r.11,*P0,1,A,0.039
f1r.10,f1r.12,+P0,1,A,0.074
f1r.11,f1r.13,+P0,1,A,0.0
f1r.12,f1r.14,+P0,1,A,0.019
f1r.13,f1r.15,+P0,1,A,0.038
f1r.14,f1r.16,+P0,1,A,0.061
f1r.15,f1r.17,+P0,1,A,0.083
f1r.16,f1r.18,+P0,1,A,0.0
f1r.17,f1r.19,+P0,1,A,0.186
f1r.18,f1r.20,+P0,1,A,0.324
f1r.19,f1r.22,*P0,1,A,0.017
f1r.20,f1r.23,+P0,1,A,0.019
f1r.21,f1r.24,+P0,1,A,0.018
f1r.22,f1r.25,+P0,1,A,0.036
f1r.23,f1r.26,+P0,1,A,0.038
f1r.24,f1r.27,+P0,1,A,0.333
f1v.1,f1v.1,@P0,1,A,0.073
f1v.2,f1v.2,+P0,1,A,0.0
f1v.3,f1v.3,+P0,1,A,0.022
f1v.4,f1v.4,+P0,1,A,0.029
f1v.5,f1v.5,+P0,1,A,0.0
f1v.6,f1v.6,+P0,1,A,0.0
f1v.7,f1v.7,+P0,1,A,0.069
f1v.8,f1v.8,+P0,1,A,0.0
f1v.9,f1v.9,+P0,1,A,0.038
f1v.10,f1v.10,+P0,1,A,0.049
f2r.1,f2r.1,@P0,1,A,0.0
f2r.2,f2r.2,+P0,1,A,0.1
f2r.3,f2r.3,+P0,1,A,0.0
f2r.4,f2r.4,+P0,1,A,0.108
f2r.5,f2r.5,+P0,1,A,0.0
f2r.6,f2r.6,+P0,1,A,0.023
f2r.7,f2r.7,+P0,1,A,0.0
f2r.8,f2r.8,+P0,1,A,0.019
f2r.9,f2r.9,+P0,1,A,0.019
f2r.10,f2r.10,+P0,1,A,0.113
f2r.11,f2r.11,+P0,1,A,0.02
f2r.12,f2r.12,+P0,1,A,0.019
f2r.13,f2r.13,+P0,1,A,0.0
f2v.1,f2v.1,@P0,1,A,0.022
f2v.2,f2v.2,+P0,1,A,0.02
f2v.3,f2v.3,+P0,1,A,0.0
f2v.4,f2v.4,+P0,1,A,0.0
f2v.5,f2v.5,+P0,1,A,0.111
f2v.6,f2v.6,+P0,1,A,0.02
f2v.7,f2v.7,+P0,1,A,0.0
f2v.8,f2v.8,+P0,1,A,0.0
f3r.1,f3r.1,@P0,1,A,0.034
f3r.2,f3r.2,+P0,1,A,0.0
f3r.3,f3r.3,+P0,1,A,0.0
f3r.4,f3r.4,+P0,1,A,0.034
f3r.5,f3r.5,+P0,1,A,0.0
f3r.6,f3r.6,+P0,1,A,0.0
f3r.7,f3r.7,+P0,1,A,0.0
f3r.8,f3r.8,+P0,1,A,0.04
f3r.9,f3r.9,+P0,1,A,0.0
f3r.10,f3r.10,+P0,1,A,0.067
f3r.11,f3r.11,+P0,1,A,0.036
f3r.12,f3r.12,+P0,1,A,0.03
f3r.13,f3r.13,+P0,1,A,0.0
f3r.14,f3r.14,+P0,1,A,0.0
f3r.15,f3r.15,+P0,1,A,0.021
f3r.16,f3r.16,+P0,1,A,0.02
f3r.17,f3r.17,+P0,1,A,0.03
f3r.18,f3r.18,+P0,1,A,0.0
f3r.19,f3r.19,+P0,1,A,0.019
f3r.20,f3r.20,+P0,1,A,0.0
f3v.1,f3v.1,@P0,1,A,0.0
f3v.2,f3v.2,+P0,1,A,0.098
f3v.3,f3v.3,+P0,1,A,0.0
f3v.4,f3v.4,+P0,1,A,0.175
f3v.5,f3v.5,+P0,1,A,0.034
f3v.6,f3v.6,+P0,1,A,0.04
f3v.7,f3v.7,+P0,1,A,0.0
f3v.8,f3v.8,+P0,1,A,0.0
f3v.9,f3v.9,+P0,1,A,0.086
f3v.10,f3v.10,+P0,1,A,0.0
f3v.11,f3v.11,+P0,1,A,0.0
f3v.12,f3v.12,+P0,1,A,0.031
f3v.13,f3v.13,+P0,1,A,0.029
f3v.14,f3v.14,+P0,1,A,0.059
f4r.1,f4r.1,@P0,1,A,0.019
f4r.2,f4r.2,+P0,1,A,0.107
f4r.3,f4r.3,+P0,1,A,0.0
f4r.4,f4r.4,+P0,1,A,0.0
f4r.5,f4r.5,+P0,1,A,0.0
f4r.6,f4r.6,+P0,1,A,0.0
f4r.7,f4r.7,+P0,1,A,0.0
f4r.8,f4r.8,+P0,1,A,0.0
f4r.9,f4r.9,+P0,1,A,0.0
f4r.10,f4r.10,+P0,1,A,0.038
f4r.11,f4r.11,+P0,1,A,0.05
f4r.12,f4r.12,+P0,1,A,0.0
f4r.13,f4r.13,+P0,1,A,0.0
f4v.1,f4v.1,@P0,1,A,0.0
f4v.2,f4v.2,+P0,1,A,0.0
f4v.3,f4v.3,+P0,1,A,0.071
f4v.4,f4v.4,+P0,1,A,0.024
f4v.5,f4v.5,+P0,1,A,0.091
f4v.6,f4v.6,+P0,1,A,0.0
f4v.7,f4v.7,+P0,1,A,0.03
f4v.8,f4v.8,+P0,1,A,0.0
f4v.9,f4v.9,+P0,1,A,0.057
f4v.10,f4v.10,+P0,1,A,0.031
f4v.11,f4v.11,+P0,1,A,0.0
f4v.12,f4v.12,+P0,1,A,0.0
f4v.13,f4v.13,+P0,1,A,0.029
f4v.14,f4v.14,+P0,1,A,0.0
f5r.1,f5r.1,@P0,1,A,0.042
f5r.2,f5r.2,+P0,1,A,0.109
f5r.3,f5r.3,+P0,1,A,0.0
f5r.4,f5r.4,+P0,1,A,0.0
f5r.5,f5r.5,+P0,1,A,0.038
f5r.6,f5r.6,+P0,1,A,0.019
